run_name,combo_id,case_name,seed,config_relpath,results_dir_relpath,task.structure_reward_scale,task.structure_hold_reward_scale,task.structure_improve_scale,task.radial_compress_reward_scale,task.radial_overshoot_penalty_scale,task.contraction_phase_structure_scale,task.contraction_phase_compress_scale,task.manifold_contraction_rate,task.manifold_structure_gate_scale,capture_rate,timeout_rate,collision_rate,success_capture_rate,avg_episode_return,avg_episode_len,mean_C_cov,mean_C_col,eval_episodes_found
ex1_reward_grid_c001_baseline_srs0p25_shs0p05_sis0p2_rcs1_rop0p5_cpss0p3_cpcs2_mcr0p01_msgs0p75_seed101,c001,baseline,101,configs/generated/reward_grid/ex1_reward_grid_c001_baseline_srs0p25_shs0p05_sis0p2_rcs1_rop0p5_cpss0p3_cpcs2_mcr0p01_msgs0p75_seed101.yaml,results/ex1_reward_grid_c001_baseline_srs0p25_shs0p05_sis0p2_rcs1_rop0p5_cpss0p3_cpcs2_mcr0p01_msgs0p75_seed101,0.25,0.05,0.2,1.0,0.5,0.3,2.0,0.01,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ex1_reward_grid_c001_baseline_srs0p25_shs0p05_sis0p2_rcs1_rop0p5_cpss0p3_cpcs2_mcr0p01_msgs0p75_seed102,c001,baseline,102,configs/generated/reward_grid/ex1_reward_grid_c001_baseline_srs0p25_shs0p05_sis0p2_rcs1_rop0p5_cpss0p3_cpcs2_mcr0p01_msgs0p75_seed102.yaml,results/ex1_reward_grid_c001_baseline_srs0p25_shs0p05_sis0p2_rcs1_rop0p5_cpss0p3_cpcs2_mcr0p01_msgs0p75_seed102,0.25,0.05,0.2,1.0,0.5,0.3,2.0,0.01,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ex1_reward_grid_c001_baseline_srs0p25_shs0p05_sis0p2_rcs1_rop0p5_cpss0p3_cpcs2_mcr0p01_msgs0p75_seed103,c001,baseline,103,configs/generated/reward_grid/ex1_reward_grid_c001_baseline_srs0p25_shs0p05_sis0p2_rcs1_rop0p5_cpss0p3_cpcs2_mcr0p01_msgs0p75_seed103.yaml,results/ex1_reward_grid_c001_baseline_srs0p25_shs0p05_sis0p2_rcs1_rop0p5_cpss0p3_cpcs2_mcr0p01_msgs0p75_seed103,0.25,0.05,0.2,1.0,0.5,0.3,2.0,0.01,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
